1	я	7301070
2	не	4334804
3	ты	4155719
4	что	3738912
5	это	3217280
6	в	3060608
7	и	2917112
8	он	2412822
9	быть	2144158
10	мы	1883252
11	вы	1866145
12	с	1706206
13	на	1655351
14	она	1262720
15	как	1174339
16	они	1160239
17	мочь	1145073
18	да	1142662
19	всё	1095466
20	у	1055142
21	нет	1049935
22	знать	1019911
23	так	995583
24	но	990116
25	а	970725
26	о	874546
27	мой	832759
28	хотеть	797448
29	этот	645009
30	если	631191
31	сказать	607658
32	за	598915
33	бы	594884
34	тот	548099
35	думать	510367
36	к	480916
37	чтобы	479027
38	есть	475964
39	твой	472462
40	же	469511
41	свой	466773
42	просто	450715
43	из	449803
44	ещё	448657
45	говорить	445997
46	должный	441802
47	весь	435641
48	для	427940
49	ну	427366
50	когда	421340
51	хорошо	420527
52	кто	415056
53	здесь	410266
54	такой	410056
55	по	397721
56	который	390300
57	то	385315
58	только	383956
59	сделать	383044
60	один	367290
61	хороший	352985
62	человек	351839
63	делать	349809
64	вот	340913
65	от	340701
66	ваш	313822
67	себя	306277
68	видеть	301153
69	почему	295613
70	дело	284794
71	очень	281777
72	уже	278258
73	время	277768
74	наш	277522
75	спасибо	273631
76	или	272568
77	большой	267898
78	давать	266427
79	там	264211
80	сейчас	256541
81	нужно	255361
82	идти	255096
83	где	254081
84	чем	253382
85	ничего	248846
86	ладный	229994
87	до	221120
88	потому	218628
89	день	217167
90	сам	217159
91	теперь	216086
92	какой	214104
93	друг	211864
94	раз	211349
95	год	209386
96	её	201916
97	найти	193400
98	пойти	192308
99	жизнь	189379
100	надо	189178
101	правда	188024
102	что-то	186939
103	дать	185141
104	ли	180914
105	пока	179333
106	даже	178504
107	привет	178155
108	другой	171326
109	дом	169533
110	тоже	167958
111	понимать	165154
112	бог	164369
113	помочь	164173
114	ребёнок	161964
115	никогда	161918
116	эй	161851
117	смочь	160352
118	парень	159733
119	тогда	159343
120	любить	158654
121	ни	155085
122	тут	154726
123	конечно	154334
124	работа	151763
125	стать	151687
126	место	148336
127	нужный	147851
128	взять	147805
129	отец	147776
130	простить	147160
131	мама	145333
132	убить	144713
133	иметь	141932
134	пожалуйста	140855
135	вернуться	139349
136	работать	137387
137	сегодня	136912
138	два	135550
139	порядок	132524
140	сюда	130931
141	стоить	127937
142	понять	127273
143	значит	127095
144	смотреть	127091
145	прийти	127068
146	никто	126127
147	всегда	126030
148	можно	123056
149	мистер	122263
150	без	120482
151	посмотреть	118834
152	слышать	118206
153	кто-то	113712
154	первый	113663
155	собираться	111761
156	деньга	111694
157	нравиться	110186
158	много	109541
159	после	109028
160	случиться	108791
161	новый	108056
162	рука	107197
163	самый	106026
164	жить	104067
165	пытаться	103647
166	получить	103585
167	поговорить	102798
168	сэр	102527
169	каждый	102414
170	ведь	100777
171	просить	100520
172	остаться	99603
173	потом	99575
174	машина	97544
175	слушать	96472
176	через	96333
177	проблема	96051
178	возможно	95943
179	женщина	95768
180	немного	95662
181	узнать	95545
182	казаться	95389
183	увидеть	95091
184	слишком	94429
185	последний	93860
186	зачем	93100
187	уйти	91305
188	доктор	91119
189	рассказать	91102
190	папа	91087
191	готовый	91057
192	пора	90702
193	ждать	90175
194	оставить	88083
195	извинить	87348
196	точно	86897
197	право	86561
198	под	86461
199	умереть	86094
200	назад	85317
201	мир	85027
202	из-за	84610
203	помнить	84327
204	имя	82835
205	вместе	82533
206	куда	80441
207	маленький	80428
208	подождать	80287
209	слово	80130
210	вопрос	79585
211	сколько	78255
212	поэтому	78189
213	подумать	77990
214	чувствовать	77156
215	плохой	76439
216	снова	76265
217	ночь	75917
218	семья	75843
219	час	75734
220	мать	75316
221	черта	75038
222	сын	74749
223	начать	74213
224	минута	74182
225	три	74126
226	что-нибудь	73233
227	вещь	73040
228	забыть	72470
229	жена	72209
230	позволить	71849
231	выйти	71644
232	отлично	71243
233	похоже	71157
234	домой	70755
235	какой-то	70609
236	девушка	70528
237	конец	70043
238	надеяться	69828
239	никакой	69754
240	прийтись	69164
241	выглядеть	69055
242	брат	69035
243	вид	68949
244	послушать	68736
245	именно	68567
246	искать	67535
247	неделя	67399
248	прямо	66757
249	решить	66496
250	разве	66146
251	послать	66081
252	лишь	65808
253	несколько	65685
254	ага	65490
255	бояться	65456
256	голова	65377
257	происходить	64936
258	позвонить	64909
259	добрый	64719
260	считать	64659
261	тем	63890
262	звать	63482
263	случай	62455
264	пара	62146
265	верить	61957
266	пройти	61765
267	совсем	61240
268	смерть	61191
269	играть	60833
270	город	59673
271	глаз	59512
272	ж	58748
273	уходить	58618
274	про	58180
275	уверенный	58177
276	ребята	58119
277	перед	57581
278	дорога	57579
279	помощь	57499
280	жаль	57474
281	туда	57308
282	действительно	57152
283	держать	56267
284	любой	56032
285	показать	56011
286	завтра	55928
287	хватить	55720
288	мужчина	55690
289	оно	55655
290	следующий	55624
291	использовать	55547
292	поехать	55494
293	полиция	55358
294	ранний	55186
295	больший	55060
296	школа	54977
297	милый	54259
298	отсюда	54249
299	сторона	53924
300	произойти	53586
301	настоящий	53543
302	история	53147
303	единственный	52857
304	верно	52791
305	кое-что	52221
306	насчёт	51499
307	месяц	51473
308	уж	51283
309	часть	51075
310	заниматься	51010
311	против	50836
312	оба	50789
313	дверь	50662
314	лицо	50218
315	любовь	49854
316	спросить	49832
317	господь	49586
318	серьёзно	49303
319	более	49014
320	итак	48940
321	при	48916
322	комната	48668
323	вообще	48657
324	звонить	48594
325	убийство	48551
326	нельзя	48309
327	наверное	48158
328	забрать	47784
329	принять	47502
330	кровь	47495
331	вести	47358
332	ради	47155
333	смысл	46947
334	игра	46925
335	потерять	46759
336	принести	46757
337	купить	46585
338	номер	46575
339	сила	46557
340	кто-нибудь	46530
341	бросить	46374
342	хотя	46068
343	сестра	45993
344	тело	45918
345	идея	45836
346	план	45825
347	уверить	45781
348	откуда	45596
349	муж	45456
350	приехать	45452
351	далёкий	45186
352	ясно	45154
353	телефон	45026
354	сердце	44884
355	господин	44811
356	закончить	44700
357	спать	44570
358	момент	44464
359	девочка	44304
360	живой	44143
361	утро	44095
362	путь	43904
363	над	43810
364	чёрт	43727
365	мёртвый	43714
366	равно	43637
367	мисс	43522
368	счастливый	43516
369	скоро	43513
370	будто	43328
371	старый	43318
372	оставаться	43106
373	дочь	42934
374	сидеть	42789
375	земля	42467
376	между	42378
377	мальчик	41832
378	спасти	41792
379	почти	41718
380	ходить	41692
381	написать	41517
382	причина	41502
383	прошлый	41342
384	нормально	41029
385	открыть	41017
386	вода	40988
387	вернуть	40895
388	отношение	40768
389	поверить	40676
390	проверить	40410
391	нога	40365
392	полный	40360
393	хоть	40250
394	быстрый	39926
395	встреча	39837
396	достаточно	39644
397	быстро	39448
398	попробовать	39294
399	некоторый	39026
400	попасть	39025
401	вечер	39022
402	провести	38629
403	продолжать	38247
404	начинать	38174
405	приходить	38094
406	шанс	38050
407	отдать	37867
408	пять	37527
409	пусть	37504
410	наслать	37459
411	плохо	37383
412	попросить	37218
413	ехать	37203
414	волноваться	37137
415	дорогой	37117
416	свет	36921
417	важный	36816
418	обещать	36749
419	рад	36727
420	команда	36583
421	брать	36257
422	миссис	36111
423	второй	36103
424	иногда	36085
425	следовать	35966
426	вроде	35897
427	прислать	35799
428	рядом	35793
429	родитель	35594
430	встретиться	35590
431	капитан	35572
432	новость	35508
433	остальной	35392
434	встречаться	35370
435	перестать	35171
436	заставить	34952
437	прекратить	34830
438	называть	34655
439	вчера	34622
440	книга	34453
441	отличный	34325
442	ненавидеть	34216
443	оружие	34156
444	прекрасный	34075
445	правильно	33991
446	ум	33947
447	оказаться	33642
448	свидание	33627
449	долго	33607
450	красивый	33573
451	важно	33534
452	выходить	33509
453	начало	33457
454	кроме	33324
455	сильный	33245
456	здорово	33129
457	вперёд	33090
458	захотеть	33020
459	душа	32795
460	внимание	32739
461	чувак	32670
462	компания	32560
463	чувство	32542
464	война	32362
465	счёт	32275
466	давно	32247
467	жертва	32200
468	убийца	32132
469	находиться	31802
470	привести	31756
471	также	31756
472	джон	31715
473	вечером	31577
474	опять	31397
475	вообще-то	31394
476	понравиться	31308
477	разговаривать	31238
478	выпить	31212
479	еда	31192
480	убивать	31070
481	вечеринка	31027
482	возвращаться	30961
483	сначала	30957
484	спрашивать	30880
485	секунда	30795
486	около	30786
487	уехать	30772
488	близкий	30763
489	увидеться	30707
490	полагать	30661
491	получиться	30638
492	остановить	30628
493	тип	30613
494	улица	30320
495	связь	30233
496	услышать	30233
497	ночью	30220
498	фильм	30182
499	сразу	30132
500	утром	30109
501	помогать	30105
502	страна	29935
503	тюрьма	29927
504	пить	29870
505	похожий	29862
506	бежать	29692
507	решение	29668
508	прекрасно	29598
509	агент	29481
510	тысяча	29415
511	представлять	29400
512	ответить	29293
513	способ	29002
514	суд	28930
515	рада	28889
516	читать	28825
517	группа	28806
518	здравствуйте	28754
519	скорее	28682
520	ох	28668
521	отправить	28645
522	собственный	28521
523	молодой	28451
524	справиться	28422
525	писать	28341
526	столько	28302
527	целый	28299
528	сильно	28217
529	ответ	28213
530	появиться	28028
531	ошибка	27930
532	остановиться	27588
533	дерьмо	27485
534	поздний	27442
535	принимать	27429
536	чёрный	27399
537	президент	27380
538	честь	27286
539	беспокоиться	27159
540	отпустить	27141
541	секс	27090
542	корабль	27051
543	двое	26977
544	выбор	26948
545	больница	26930
546	ах	26890
547	понятно	26878
548	хотеться	26815
549	довольно	26733
550	бывать	26694
551	назвать	26557
552	замечательный	26539
553	безопасность	26531
554	выбрать	26501
555	заметить	26461
556	четыре	26443
557	прежде	26389
